tournament_year,player_name,team_country,position,club,fifa_ranking,jersey_number,appearances,goals,assists,dribbles_per90,interceptions_per90,tackles_per90,duels_won_per90,save_pct,clean_sheets_pct,kit_sponsor,dob
2022,Emiliano Martinez,Argentina,GK,Aston Villa,2,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.65,46.67,43.0,Adidas,1992-09-02
2022,Franco Armani,Argentina,GK,River,2,1.0,0.0,,,,,,,,,Adidas,1986-10-16
2022,Geronimo Rulli,Argentina,GK,Villarreal,2,12.0,0.0,,,,,,,,,Adidas,1992-05-20
2022,Nicolas Otamendi,Argentina,DF,Benfica,2,19.0,7.0,0.0,1.0,0.33,1.17,1.3,7.17,,,Adidas,1988-02-12
2022,Marcos Acuna,Argentina,DF,Sevilla,2,8.0,6.0,0.0,0.0,1.45,0.48,2.9,7.97,,,Adidas,1991-10-28
2022,Nicolas Tagliafico,Argentina,DF,Lyon,2,3.0,6.0,0.0,0.0,0.48,2.17,1.69,5.07,,,Adidas,1992-08-31
2022,German Pezzella,Argentina,DF,Real Betis,2,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.16,,,Adidas,1991-06-27
2022,Nahuel Molina,Argentina,DF,Atletico Madrid,2,26.0,7.0,1.0,1.0,0.32,0.47,1.42,1.58,,,Adidas,1998-04-06
2022,Gonzalo Montiel,Argentina,DF,Sevilla,2,4.0,4.0,0.0,0.0,0.77,0.77,2.31,5.39,,,Adidas,1997-01-01
2022,Juan Foyth,Argentina,DF,Villarreal,2,2.0,1.0,0.0,0.0,,0.0,0.0,,,,Adidas,1998-01-12
2022,Cristian Romero,Argentina,DF,Tottenham,2,13.0,7.0,0.0,0.0,0.16,0.49,0.82,5.09,,,Adidas,1998-04-27
2022,Lisandro Martinez,Argentina,DF,Manchester United,2,25.0,5.0,0.0,0.0,0.3,0.9,1.5,4.19,,,Adidas,1998-01-18
