Rank,Team,"Cohesion Score (0-100, Partial)",Club Teammate Density,Avg Squad Age,Age Spread (Std Dev)
1,Saudi Arabia,96.5,0.3007,27.6,3.56
2,Qatar,90.4,0.2615,27.5,3.85
3,England,52.6,0.0767,27.0,3.6
4,Germany,48.0,0.1046,27.3,4.43
5,South Korea,46.1,0.0615,28.2,3.42
6,Denmark,42.5,0.0123,27.7,3.76
7,Serbia,41.6,0.0254,27.5,3.56
8,Tunisia,41.3,0.0123,28.5,3.82
9,Netherlands,41.0,0.0831,27.2,4.57
10,Morocco,40.8,0.0154,26.7,3.88
11,Switzerland,40.8,0.01,27.5,3.68
12,USA,38.9,0.01,25.4,3.92
13,Spain,38.8,0.0892,25.9,4.75
14,Ghana,36.4,0.0031,25.3,3.98
15,Senegal,36.0,0.0109,25.9,3.42
16,Croatia,35.6,0.0185,27.8,4.18
17,Wales,35.4,0.0233,26.5,4.24
18,Australia,34.9,0.0215,27.9,4.25
19,Argentina,33.2,0.0277,27.8,4.4
20,Mexico,32.6,0.0523,29.0,4.69
21,France,32.1,0.0367,26.7,4.55
22,Japan,29.3,0.0072,28.6,4.39
23,Brazil,29.1,0.04,28.4,4.74
24,Poland,28.7,0.0062,27.6,4.41
25,Canada,27.9,0.0215,27.5,4.61
26,Ecuador,27.4,0.0215,26.1,4.64
27,Portugal,26.7,0.0492,27.3,4.96
28,Belgium,26.6,0.0233,28.6,4.7
29,Cameroon,23.7,0.0,27.2,2.89
30,Iran,23.1,0.0367,29.4,2.48
31,Uruguay,17.5,0.0185,28.3,5.12
32,Costa Rica,12.6,0.0633,27.6,5.84
