Rank,Team,Cohesion Score (0-100),Avg International Caps,Club Teammate Density,Plays in Home League (%),Avg Squad Age,Age Spread (Std Dev)
1,Qatar,78.1,61.0,0.1231,96.2,28.9,4.89
2,Saudi Arabia,75.0,35.7,0.1415,96.2,28.0,3.64
3,Czechia,65.5,28.4,0.1662,65.4,27.2,4.04
4,South Africa,60.3,20.7,0.1723,73.1,26.3,4.23
5,Türkiye,59.1,38.0,0.0923,57.7,27.2,3.95
6,Spain,57.1,28.6,0.1138,65.4,26.2,3.99
7,IR Iran,56.5,45.2,0.0615,65.4,29.8,4.29
8,Jordan,54.8,40.9,0.0862,46.2,28.1,4.2
9,Egypt,54.0,32.0,0.1077,65.4,28.7,4.37
10,England,51.8,32.4,0.0554,80.8,26.6,4.08
11,Panama,50.9,59.3,0.0092,7.7,30.0,3.85
12,Germany,47.9,32.5,0.0892,73.1,27.6,4.78
13,Uzbekistan,47.8,39.3,0.0431,57.7,28.0,4.26
14,Mexico,45.1,47.6,0.0338,46.2,27.5,4.66
15,Argentina,44.1,48.1,0.0523,7.7,28.7,4.37
16,Portugal,42.6,44.7,0.0431,19.2,27.5,4.35
17,France,41.8,30.9,0.0431,30.8,26.6,3.78
18,Korea Republic,41.2,37.5,0.0154,26.9,27.5,3.74
19,Iraq,40.7,31.9,0.0246,38.5,26.4,3.79
20,Switzerland,39.6,44.2,0.0062,7.7,27.8,3.83
21,Austria,37.0,38.6,0.0123,11.5,28.2,3.64
22,Netherlands,36.5,33.1,0.0308,7.7,27.3,3.77
23,USA,36.1,37.6,0.0062,26.9,26.4,3.44
24,New Zealand,35.5,32.0,0.0554,34.6,27.7,4.62
25,Colombia,35.3,40.1,0.0062,3.8,29.6,3.87
26,Canada,32.6,37.4,0.0154,7.7,26.5,3.36
27,Brazil,30.5,35.8,0.0277,26.9,28.8,4.74
28,Japan,30.3,31.0,0.0092,11.5,26.9,3.92
29,Algeria,29.0,29.9,0.0062,11.5,26.5,3.59
30,Croatia,28.5,44.6,0.0062,7.7,27.9,4.79
31,Uruguay,28.5,35.7,0.0154,0.0,28.2,3.25
32,Scotland,28.3,38.0,0.0123,30.8,28.7,4.9
33,Belgium,28.0,41.7,0.0308,11.5,27.1,5.09
34,Congo DR,26.8,30.4,0.0062,0.0,28.5,3.57
35,Norway,26.0,30.8,0.0154,15.4,26.3,3.07
36,Côte D'Ivoire,25.7,27.2,0.0031,0.0,25.3,3.78
37,Tunisia,25.1,22.3,0.0062,23.1,26.2,3.98
38,Ghana,22.9,21.9,0.0123,3.8,26.4,3.89
39,Ecuador,22.7,29.6,0.0123,7.7,25.6,4.45
40,Curaçao,21.9,23.9,0.0123,0.0,27.5,4.03
41,Haiti,20.4,24.7,0.0031,3.8,27.0,4.14
42,Paraguay,19.5,27.1,0.0154,11.5,28.5,4.68
43,Australia,19.0,28.9,0.0154,19.2,26.9,4.97
44,Sweden,18.6,19.8,0.0,11.5,27.0,3.42
45,Senegal,16.2,39.1,0.0123,0.0,26.6,5.45
46,Cabo Verde,16.0,31.7,0.0,0.0,29.2,4.83
47,Morocco,15.1,27.8,0.0062,7.7,26.1,4.89
48,Bosnia And Herzegovina,11.9,23.6,0.0062,3.8,26.0,4.84
