tournament_year,player_name,team_country,position,club,dob,age_at_tournament,caps,goals
2018,Essam El-Hadary,Egypt,GK,Al-Taawoun,1973-01-15,45,158,0
2018,Ali Gabr,Egypt,DF,West Bromwich Albion,1989-01-01,29,21,1
2018,Ahmed Elmohamady,Egypt,DF,Aston Villa,1987-09-09,30,78,2
2018,Omar Gaber,Egypt,MF,Los Angeles FC,1992-01-30,26,24,0
2018,Sam Morsy,Egypt,MF,Wigan Athletic,1991-09-10,26,5,0
2018,Ahmed Hegazi (footballer),Egypt,DF,West Bromwich Albion,1991-01-25,27,45,1
2018,Ahmed Fathy,Egypt,DF,Al Ahly,1984-11-10,33,126,3
2018,Tarek Hamed,Egypt,MF,Zamalek,1988-10-24,29,21,0
2018,Marwan Mohsen,Egypt,FW,Al Ahly,1989-02-26,29,24,4
2018,Mohamed Salah,Egypt,FW,Liverpool,1992-06-15,25,57,33
2018,Kahraba (footballer),Egypt,FW,Al-Ittihad,1994-04-13,24,19,3
2018,Ayman Ashraf,Egypt,DF,Al Ahly,1991-04-09,27,4,0
2018,Mohamed Abdel-Shafy,Egypt,DF,Al-Fateh,1985-07-01,32,51,1
2018,Ramadan Sobhi,Egypt,FW,Stoke City,1997-01-23,21,23,1
2018,Mahmoud Hamdy,Egypt,DF,Zamalek,1995-06-01,23,0,0
2018,Sherif Ekramy,Egypt,GK,Al Ahly,1983-07-10,34,22,0
2018,Mohamed Elneny,Egypt,MF,Arsenal,1992-07-11,25,61,5
2018,Shikabala,Egypt,FW,Al-Raed,1986-03-05,32,29,2
2018,Abdallah Said,Egypt,MF,KuPS,1985-07-13,32,36,6
2018,Saad Samir,Egypt,DF,Al Ahly,1989-04-01,29,11,0
2018,Trezeguet (Egyptian footballer),Egypt,MF,KasImpasa,1994-10-01,23,24,2
2018,Amr Warda,Egypt,FW,Atromitos,1993-09-17,24,16,0
2018,Mohamed El-Shenawy,Egypt,GK,Al Ahly,1988-12-18,29,3,0
2018,Igor Akinfeev,Russia,GK,CSKA Moscow,1986-04-08,32,106,0
2018,Mario Fernandes (footballer),Russia,DF,CSKA Moscow,1990-09-19,27,5,0
2018,Ilya Kutepov,Russia,DF,Spartak Moscow,1993-07-29,24,7,0
2018,Sergei Ignashevich,Russia,DF,CSKA Moscow,1979-07-14,38,122,8
2018,Andrei Sergeyevich Semyonov,Russia,DF,Akhmat Grozny,1989-03-24,29,6,0
2018,Denis Cheryshev,Russia,MF,Villarreal,1990-12-26,27,11,0
2018,Daler Kuzyayev,Russia,MF,Zenit Saint Petersburg,1993-01-15,25,6,0
2018,Yury Gazinsky,Russia,MF,Krasnodar,1989-07-20,28,6,0
2018,Alan Dzagoev,Russia,MF,CSKA Moscow,1990-06-17,27,57,9
2018,Fyodor Smolov,Russia,FW,Krasnodar,1990-02-09,28,32,12
2018,Roman Zobnin,Russia,MF,Spartak Moscow,1994-02-11,24,12,0
2018,Andrey Lunyov,Russia,GK,Zenit Saint Petersburg,1991-11-13,26,3,0
2018,Fyodor Kudryashov,Russia,DF,Rubin Kazan,1987-04-05,31,19,0
