team,confederation,market_value,xg_diff,form
Argentina,CONMEBOL,808,0.776,36
France,UEFA,1520,0.595,26
Morocco,CAF,448,0.152,29
Spain,UEFA,1220,1.147,25
England,UEFA,1360,0.896,24
Brazil,CONMEBOL,928,0.99,17
Netherlands,UEFA,754,-0.138,20
Portugal,UEFA,1010,0.259,19
Uruguay,CONMEBOL,359,0.47,19
Qatar,AFC,20,-0.52,19
Panama,Concacaf,35,0.678,18
Germany,UEFA,947,1.374,14
Croatia,UEFA,387,-0.083,16
Senegal,CAF,478,0.437,16
Japan,AFC,271,-0.44,16
Australia,AFC,77,-0.82,16
Jordan,AFC,20,-0.516,16
South Korea,AFC,139,0.194,17
Iran,AFC,32,-0.35,17
Colombia,CONMEBOL,302,0.834,15
Mexico,Concacaf,192,0.55,15
New Zealand,OFC,34,0.074,15
Switzerland,UEFA,333,0.179,15
Canada,Concacaf,199,0.903,13
USA,Concacaf,386,0.58,12
Ecuador,CONMEBOL,369,0.834,10
Uzbekistan,AFC,85,-0.516,10
Cote dIvoire,CAF,522,-0.22,10
Egypt,CAF,116,-0.22,12
Belgium,UEFA,548,0.645,8
Algeria,CAF,257,-0.22,8
Tunisia,CAF,70,-0.595,8
Cameroon,CAF,144,-0.22,8
Turkiye,UEFA,474,0.535,7
Ghana,CAF,234,-0.855,7
Saudi Arabia,AFC,41,-1.16,7
Iraq,AFC,21,-0.516,6
Austria,UEFA,245,0.535,6
South Africa,CAF,49,-0.22,4
Haiti,Concacaf,56,0.678,4
Congo DR,CAF,144,-0.22,5
Cabo Verde,CAF,55,-0.22,3
Czechia,UEFA,188,0.535,3
Paraguay,CONMEBOL,154,0.834,3
Scotland,UEFA,170,0.535,1
Curacao,Concacaf,26,0.678,3
Bosnia,UEFA,146,0.535,0
Norway,UEFA,590,0.535,0
Sweden,UEFA,409,0.535,0
Poland,UEFA,191,-1.220,3
